year,month,season,day_of_week,time_of_day,is_weekend,dtp_count,dead_total,injured_total,dead_children_total,injured_children_total,pct_speed_viol,pct_priority_viol,pct_bad_road,pct_pedestrian,pct_night,pct_severity_fatal
2022,5,Весна,0,Ночь (22–6),False,17,1,18,0,1,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.17647058823529413,1.0,0.058823529411764705
2022,5,Весна,0,Утро (6–12),False,27,0,30,0,2,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.25925925925925924,0.0,0.0
2022,5,Весна,1,Вечер (18–22),False,16,0,19,0,6,0.0625,0.125,0.1875,0.25,0.0,0.0
2022,5,Весна,1,День (12–18),False,38,1,39,0,7,0.07894736842105263,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.0,0.02631578947368421
2022,5,Весна,1,Ночь (22–6),False,18,4,23,0,3,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.2777777777777778,1.0,0.1111111111111111
2022,5,Весна,1,Утро (6–12),False,31,1,31,0,1,0.0967741935483871,0.03225806451612903,0.12903225806451613,0.25806451612903225,0.0,0.03225806451612903
2022,5,Весна,2,Вечер (18–22),False,21,0,21,0,2,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.6190476190476191,0.0,0.0
2022,5,Весна,2,День (12–18),False,39,3,41,1,11,0.10256410256410256,0.07692307692307693,0.1794871794871795,0.3076923076923077,0.0,0.07692307692307693
2022,5,Весна,2,Ночь (22–6),False,13,2,14,0,1,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.23076923076923078,1.0,0.15384615384615385
2022,5,Весна,2,Утро (6–12),False,21,0,28,0,2,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.0,0.0
2022,5,Весна,3,Вечер (18–22),False,32,0,35,0,5,0.0,0.0625,0.15625,0.46875,0.0,0.0
2022,5,Весна,3,День (12–18),False,24,0,27,0,8,0.125,0.08333333333333333,0.20833333333333334,0.25,0.0,0.0
2022,5,Весна,3,Ночь (22–6),False,13,0,18,0,1,0.23076923076923078,0.15384615384615385,0.0,0.3076923076923077,1.0,0.0
