dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502321427,2022-01-05,2022,1,2,15,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,7,147,input/2022,55.558678,37.489364,,Александры Монаховой ул,,,4.0,Асфальтобетонное,
502336227,2022-01-05,2022,1,2,18,Вечер (18–22),Зима,False,False,True,7,Неизвестный код,Прочее,Ранение,0,1,0,1,2,2,3,144,input/2022,55.979573,37.171276,,Панфиловский пр-кт,,,6.0,Асфальтобетонное,
502339227,2022-01-05,2022,1,2,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,3,4,1,22,input/2022,55.744615,37.817216,,Фрязевская ул,,,4.0,Асфальтобетонное,
502361827,2022-01-05,2022,1,2,22,Ночь (22–6),Зима,False,True,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,3,8,116,input/2022,55.770369,37.688813,,,Третье транспортное кольцо - внутренняя сторона,32,4.0,Асфальтобетонное,
502461627,2022-01-05,2022,1,2,18,Вечер (18–22),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,1,2,3,7,76,input/2022,55.585634,37.263501,,,"""Украина"" Москва - Калуга - Брянск - граница с Украиной (основное направление)",32.1,4.0,Асфальтобетонное,
502498227,2022-01-05,2022,1,2,13,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,3,4,6,91,input/2022,55.850048,37.354814,,Митинская ул,,,4.0,"Асфальтобетонное, с поверхностной обработкой",
502833627,2022-01-05,2022,1,2,0,Ночь (22–6),Зима,False,True,False,8,Наезд на животное,Прочее,Ранение,0,1,0,0,1,2,8,29,input/2022,55.754584,37.612102,,Моховая ул,,,8.0,Асфальтобетонное,
502250227,2022-01-05,2022,1,2,2,Ночь (22–6),Зима,False,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,11,66,input/2022,55.590303,37.534693,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,37,6.0,Асфальтобетонное,
502277627,2022-01-05,2022,1,2,12,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,11,44,input/2022,55.632944,37.519662,,Профсоюзная ул,,,6.0,Асфальтобетонное,
502351427,2022-01-05,2022,1,2,19,Вечер (18–22),Зима,False,False,True,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,1,1,2,1,14,input/2022,55.797717,37.714627,,Краснобогатырская ул,,,2.0,Асфальтобетонное,
502791227,2022-01-05,2022,1,2,0,Ночь (22–6),Зима,False,True,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,2,0,1,2,4,9,111,input/2022,55.587113,37.717792,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,24,5.0,Асфальтобетонное,
502400027,2022-01-06,2022,1,3,11,Утро (6–12),Зима,False,False,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,4,2,58,input/2022,55.677651,37.454914,,Озерная ул,,,2.0,Асфальтобетонное,
502401227,2022-01-06,2022,1,3,12,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,1,69,input/2022,55.807636,37.802979,,,,,1.0,Асфальтобетонное,
