cell_id,year,dtp_count,dead_total,injured_total,dead_children_total,pct_fatal,pct_injured,pct_speed_viol,pct_priority_viol,pct_pedestrian,pct_bad_road,pct_night,pct_weekend,pct_rush_hour,pct_at_intersection,pct_on_open_road,pct_has_camera,pct_has_crosswalk_pt,pct_has_traffic_light,pct_has_bus_stop,avg_lane_width_m,avg_dist_intersection,avg_dist_crosswalk,avg_dist_bus_stop,avg_poi_100m,avg_poi_300m,mortality_rate,cell_h3_res,cell_has_traffic_light,cell_has_crosswalk,cell_has_bus_stop,cell_is_intersection,cell_is_open_road,cell_has_camera,cell_traffic_lane_amount,cell_lane_width_m,cell_is_multilane,cell_distance_to_intersection_m,cell_distance_to_bus_stop_m,cell_poi_count_100m,cell_poi_count_300m,cell_crossing_density,cell_stop_density,cell_speed_limit,cell_road_class,cell_landuse_type
8811aa6125fffff,2022,2,0,3,0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,33.75,249.0317211679996,,201.08605326459468,0.0,6.0,0.0,8,0.0,0.0,0.4545454545454545,0.4545454545454545,0.0909090909090909,0.0,3.1818181818181817,35.43181818181818,0.6363636363636364,249.0317211679996,201.0860532645947,0.0,6.0,0.0,5.0,60.0,service,residential
8811aa6125fffff,2023,5,0,5,0,0.0,1.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.6,38.9,249.0317211679996,,201.08605326459468,0.0,6.0,0.0,8,0.0,0.0,0.4545454545454545,0.4545454545454545,0.0909090909090909,0.0,3.1818181818181817,35.43181818181818,0.6363636363636364,249.0317211679996,201.0860532645947,0.0,6.0,0.0,5.0,60.0,service,residential
8811aa6125fffff,2024,4,0,4,0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,31.9375,249.0317211679996,,201.08605326459468,0.0,6.0,0.0,8,0.0,0.0,0.4545454545454545,0.4545454545454545,0.0909090909090909,0.0,3.1818181818181817,35.43181818181818,0.6363636363636364,249.0317211679996,201.0860532645947,0.0,6.0,0.0,5.0,60.0,service,residential
8811aa6127fffff,2022,5,1,4,0,0.2,0.8,0.0,0.2,0.6,0.6,0.0,0.2,0.6,0.6,0.2,0.0,0.0,0.0,0.4,56.56666666666666,201.45302803923468,,237.22179914981507,0.0,6.0,0.2,8,0.0,0.0,0.3333333333333333,0.6190476190476191,0.2857142857142857,0.0,3.1904761904761907,47.57539682539683,0.5714285714285714,201.45302803923468,237.22179914981504,0.0,6.0,0.0,4.0,60.0,footway,residential
8811aa6127fffff,2023,11,0,14,0,0.0,1.0,0.09090909090909091,0.0,0.5454545454545454,0.0,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365,41.56060606060606,201.45302803923468,,237.22179914981507,0.0,6.0,0.0,8,0.0,0.0,0.3333333333333333,0.6190476190476191,0.2857142857142857,0.0,3.1904761904761907,47.57539682539683,0.5714285714285714,201.45302803923468,237.22179914981504,0.0,6.0,0.0,4.0,60.0,footway,residential
8811aa6127fffff,2024,5,0,5,0,0.0,1.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.8,0.4,0.0,0.0,0.0,0.2,51.81666666666666,201.45302803923468,,237.22179914981507,0.0,6.0,0.0,8,0.0,0.0,0.3333333333333333,0.6190476190476191,0.2857142857142857,0.0,3.1904761904761907,47.57539682539683,0.5714285714285714,201.45302803923468,237.22179914981504,0.0,6.0,0.0,4.0,60.0,footway,residential
8811aa6129fffff,2022,3,1,3,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,33.833333333333336,543.9043851081975,,398.6647241661692,0.0,0.0,0.3333,8,0.0,0.0,0.1428571428571428,0.2857142857142857,0.8571428571428571,0.0,4.0,34.07142857142857,1.0,543.9043851081975,398.6647241661692,0.0,0.0,0.0,0.0,60.0,service,industrial
8811aa6129fffff,2023,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,36.5,543.9043851081975,,398.6647241661692,0.0,0.0,0.0,8,0.0,0.0,0.1428571428571428,0.2857142857142857,0.8571428571428571,0.0,4.0,34.07142857142857,1.0,543.9043851081975,398.6647241661692,0.0,0.0,0.0,0.0,60.0,service,industrial
8811aa6129fffff,2024,2,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,543.9043851081975,,398.6647241661692,0.0,0.0,0.0,8,0.0,0.0,0.1428571428571428,0.2857142857142857,0.8571428571428571,0.0,4.0,34.07142857142857,1.0,543.9043851081975,398.6647241661692,0.0,0.0,0.0,0.0,60.0,service,industrial
8811aa612bfffff,2022,11,2,15,0,0.18181818181818182,0.8181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365,37.82575757575757,224.0138352617956,,143.6532737162675,0.0,15.0,0.1818,8,0.0,0.0,0.52,0.76,0.32,0.0,4.52,56.03333333333333,0.8,224.0138352617956,143.6532737162675,0.0,15.0,0.0,9.0,60.0,service,residential
8811aa612bfffff,2023,4,0,4,0,0.0,1.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.5,0.25,0.0,0.0,0.0,1.0,44.0,224.0138352617956,,143.6532737162675,0.0,15.0,0.0,8,0.0,0.0,0.52,0.76,0.32,0.0,4.52,56.03333333333333,0.8,224.0138352617956,143.6532737162675,0.0,15.0,0.0,9.0,60.0,service,residential
8811aa612bfffff,2024,10,1,13,0,0.1,0.9,0.2,0.1,0.1,0.0,0.3,0.1,0.3,0.7,0.4,0.0,0.0,0.0,0.5,80.875,224.0138352617956,,143.6532737162675,0.0,15.0,0.1,8,0.0,0.0,0.52,0.76,0.32,0.0,4.52,56.03333333333333,0.8,224.0138352617956,143.6532737162675,0.0,15.0,0.0,9.0,60.0,service,residential
8811aa612dfffff,2022,9,0,11,0,0.0,1.0,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.0,0.0,0.0,0.0,0.4444444444444444,73.72222222222223,140.74018479282432,,114.93610764486117,0.0,13.0,0.0,8,0.0,0.0,0.4,0.6666666666666666,0.0666666666666666,0.0,3.066666666666667,58.64444444444444,0.4666666666666667,140.74018479282432,114.93610764486117,0.0,13.0,0.0,11.0,60.0,service,industrial
8811aa612dfffff,2023,5,0,5,0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.4,36.03333333333333,140.74018479282432,,114.93610764486115,0.0,13.0,0.0,8,0.0,0.0,0.4,0.6666666666666666,0.0666666666666666,0.0,3.066666666666667,58.64444444444444,0.4666666666666667,140.74018479282432,114.93610764486117,0.0,13.0,0.0,11.0,60.0,service,industrial
8811aa612dfffff,2024,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,140.74018479282432,,114.93610764486117,0.0,13.0,0.0,8,0.0,0.0,0.4,0.6666666666666666,0.0666666666666666,0.0,3.066666666666667,58.64444444444444,0.4666666666666667,140.74018479282432,114.93610764486117,0.0,13.0,0.0,11.0,60.0,service,industrial
8811aa6131fffff,2022,1,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37.75,798.4014134695049,,366.5119949558306,0.0,0.0,0.0,8,0.0,0.0,0.5,0.5,0.5,0.0,4.0,37.6875,1.0,798.4014134695049,366.5119949558306,0.0,0.0,0.0,0.0,60.0,path,forest
8811aa6131fffff,2023,2,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,37.75,798.4014134695049,,366.5119949558306,0.0,0.0,0.0,8,0.0,0.0,0.5,0.5,0.5,0.0,4.0,37.6875,1.0,798.4014134695049,366.5119949558306,0.0,0.0,0.0,0.0,60.0,path,forest
8811aa6131fffff,2024,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.5,798.4014134695049,,366.5119949558306,0.0,0.0,0.0,8,0.0,0.0,0.5,0.5,0.5,0.0,4.0,37.6875,1.0,798.4014134695049,366.5119949558306,0.0,0.0,0.0,0.0,60.0,path,forest
8811aa6135fffff,2022,2,0,2,0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,97.5,462.8546677779296,,431.24700129032783,0.0,0.0,0.0,8,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.0,1.5714285714285714,90.75,0.1428571428571428,462.8546677779296,431.24700129032783,0.0,0.0,0.0,0.0,60.0,footway,park
